CP,MA,MACD,K,D,R,Trend
397.3999939,390.2666646,3.165808149,74.44441054,67.07621976,25.55558946,0
385.6000061,390.4333313,2.341998734,9.090940617,54.88216539,90.90905938,1
385.7000122,390.0266642,1.677852257,26.04654002,36.52729706,73.95345998,0
379.5,389.8466654,0.643800884,7.916641235,14.35137396,92.08335876,0
377.1000061,389.3399984,-0.365142592,27.08334658,20.34884261,72.91665342,1
389.8999939,388.7799988,-0.130382556,65.17854142,33.39284308,34.82145858,0
389.8999939,388.5799988,0.055032088,65.17854142,52.48014314,34.82145858,1
392.8999939,388.9133321,0.438989065,74.10711123,68.15473136,25.89288877,0
388.6000061,389.4199992,0.391788364,61.30953084,66.86506116,38.69046916,1
397.6000061,389.6066671,1.068291652,88.09524026,74.50396078,11.90475974,1
406.1000061,390.1133341,2.264204009,102.9729895,84.12592019,-2.972989469,0
405.5,391.0533346,3.127505751,84.26966292,91.77929755,15.73033708,0
404.8999939,391.8600016,3.720376933,82.9213346,90.05466233,17.0786654,0
403.5,392.8533346,4.030799265,79.7752809,82.32209281,20.2247191,0
402,393.5200012,4.10841449,76.40449438,79.70036996,23.59550562,0
394,393.7466675,3.484227963,58.42696629,71.53558052,41.57303371,1
398.2000122,393.5200012,3.290530342,67.86519597,67.56555222,32.13480403,1
413.7999878,394.3600016,4.345716522,99.56519085,75.28578437,0.434809146,1
415.3999939,396.2333333,5.250541321,94.98997935,87.47345539,5.010020653,0
409.5,398.6266663,5.428959627,78.64476836,91.06664619,21.35523164,0
393.6000061,400.7866659,4.238501981,26.12364246,66.58613006,73.87635754,1
395.5,401.0333333,3.409071693,31.46070305,45.40970463,68.53929695,0
391.5,401.4066671,2.401295008,20.22474992,25.93636515,79.77525008,0
388.8999939,401.3133341,1.376953302,10.14492754,20.61012684,89.85507246,0
384.6000061,401.3333333,0.215695635,1.671326478,10.68033465,98.32867352,1
385.2000122,400.4666667,-0.648715959,5.706540218,5.840931411,94.29345978,0
375.1000061,399.0733337,-2.124267229,6.471829851,4.616565515,93.52817015,1
382.6000061,397.0466675,-2.657827144,22.12945189,11.43594065,77.87054811,1
387.1000061,395.5600016,-2.68659543,31.52402511,20.04176895,68.47597489,1
389.2999878,394.4666687,-2.503021097,36.11688935,29.92345545,63.88311065,1
389.8999939,393.6200012,-2.282806862,37.36951185,35.00347544,62.63048815,0
388.8999939,393.3466675,-2.164031528,35.28182891,36.2560767,64.71817109,0
382.7000122,392.7266663,-2.540898036,22.33823292,31.66319123,77.66176708,0
379.7000122,390.6533346,-3.046523955,16.07518411,24.56508198,83.92481589,0
372.1000061,388.2733358,-4.01421969,0.260432603,12.89128321,99.7395674,1
373,385.7800028,-4.654845386,5.923384962,7.419667224,94.07661504,0
365.3999939,384.4066691,-5.709981726,-7.876779975,-0.564320804,107.87678,1
365.6000061,382.400002,-6.455629091,4.54543653,0.864013839,95.45456347,1
368.2999878,380.6733358,-6.750874167,13.31161432,3.326756959,86.68838568,0
367.2999878,379.300002,-6.985030575,13.43746185,10.43150423,86.56253815,0
361,378.1466675,-7.591448091,2.017325535,9.58880057,97.98267446,0
360.3999939,376.5333333,-8.027913035,0.288201926,5.247663105,99.71179807,0
359.6000061,375.5533325,-8.342203251,-0.283303507,0.674074651,100.2833035,0
356.7999878,374.0199992,-8.716737465,2.051250751,0.685383057,97.94874925,0
356.5,371.999998,-8.934770562,1.282051282,1.016666175,98.71794872,1
359.6000061,369.8133321,-8.756479532,9.230784881,4.188028971,90.76921512,0
358.8999939,367.7933329,-8.572845317,8.529393813,6.347409992,91.47060619,0
356.2999878,365.7933329,-8.538684008,1.090864702,6.283681132,98.9091353,0
354.8999939,364.0333313,-8.526292934,3.900729175,4.506995897,96.09927082,1
355.5,362.3799967,-8.371555361,6.028409472,3.67333445,93.97159053,1
359.7000122,361.2733297,-7.819876171,20.92206333,10.28373399,79.07793667,1
362,360.3866638,-7.115058678,29.07804488,18.67617256,70.92195512,1
362.8999939,360.1599976,-6.409973566,32.26951122,27.42320648,67.73048878,0
360.7999878,359.9799967,-5.952030177,24.82268429,28.72341347,75.17731571,1
362.3999939,359.4799967,-5.397777404,30.49646234,29.19621928,69.50353766,0
360.6000061,359.1533305,-5.045609416,61.26139254,38.86017972,38.73860746,0
360.3999939,359.1266642,-4.728149892,59.45948175,50.40577888,40.54051825,1
362.7000122,359.1266642,-4.242068749,80.18035604,66.96707678,19.81964396,1
367.3999939,359.3333313,-3.437965966,105.4262044,81.68868072,-5.426204377,0
366,360.0399984,-2.880472234,79.2207329,88.27576444,20.7792671,0
361.6000061,360.6733317,-2.761860166,50.64938925,78.43210884,49.35061075,0
361.6000061,360.806665,-2.637456292,50.64938925,60.17317047,49.35061075,1
364.1000061,360.9866659,-2.310502188,66.88312975,56.06063609,33.11687025,0
356.7999878,361.5066671,-2.6103487,15.06836144,44.20029348,84.93163856,1
359.8999939,361.6333333,-2.568229682,44.97038535,42.30729218,55.02961465,1
365.1000061,361.9266663,-2.091147089,75.7396439,45.25946356,24.2603561,1
367.5,362.2866659,-1.50208119,86.36367577,69.02456834,13.63632423,0
367.5,362.6533325,-1.023444588,86.36367577,82.82233182,13.63632423,1
376.3999939,362.9599996,0.073189807,99.58675185,90.7713678,0.413248153,0
375.3999939,364,0.851770148,89.88324954,91.94455905,10.11675046,1
379.6000061,364.8666667,1.787105917,98.55597935,96.00866024,1.444020651,0
376.6000061,366.1333333,2.260236722,86.1702404,91.53648976,13.8297596,0
376.5,367.2133341,2.597187873,85.81560898,90.18060957,14.18439102,0
374.8999939,368.1333333,2.703947542,59.94694638,77.31093192,40.05305362,1
376.7999878,368.6333333,2.908343405,64.98671636,70.24975724,35.01328364,1
378.2000122,369.3533325,3.147021959,68.70030777,64.54465684,31.29969223,1
380.1000061,370.4599996,3.449723792,73.74007774,69.14236729,26.25992226,0
379.7999878,371.6933329,3.623637172,72.94427346,71.79488632,27.05572654,1
380.2000122,372.7399984,3.750509863,74.00534584,73.56323235,25.99465416,1
382.1000061,374.3,3.958737155,75.69232647,74.21398192,24.30767353,1
382.2999878,375.7800008,4.092717337,69.56515446,73.08760892,30.43484554,1
383,376.9266663,4.206888342,70.71128959,71.98959017,29.28871041,0
379,377.9599996,3.929308493,53.97488364,64.75044256,46.02511636,0
370.2000122,378.7266663,2.96505963,-9.999932183,38.22874702,109.9999322,0
363.1000061,378.3133341,1.609421891,-7.599975586,12.12499196,107.5999756,1
363.7999878,377.493335,0.584810555,9.655130321,-2.64825915,90.34486968,0
363.2000122,376.4400004,-0.272473421,7.58624899,3.213801241,92.41375101,1
363.6000061,375.5466675,-0.909121201,8.965538288,8.735639199,91.03446171,0
362.3999939,374.6866679,-1.493286434,5.38459191,7.312126396,94.61540809,1
362.6000061,373.8533346,-1.917992848,6.153869629,6.834666609,93.84613037,1
363.2999878,372.9066691,-2.173043574,8.846106896,6.794856145,91.1538931,1
364.2000122,371.9133341,-2.276308794,12.30773926,9.102571928,87.69226074,0
362.2999878,370.8533346,-2.482842651,4.99995305,8.717933068,95.00004695,1
362.7000122,369.6866679,-2.584451644,6.538508489,7.948733599,93.46149151,0
359.6000061,368.5200012,-2.881901322,0,3.846153846,100,1
361.7000122,367.0200012,-2.914581908,13.35624241,6.631583633,86.64375759,1
365.2999878,365.6466695,-2.619794207,27.77777778,13.71134006,72.22222222,1
370.8999939,364.4666687,-1.912255844,59.00900406,33.38100808,40.99099594,0
370.8999939,363.9266683,-1.336124581,76.60819548,54.46499244,23.39180452,1
371.8999939,363.9733337,-0.789741118,82.45614661,72.69111538,17.54385339,0
370.3999939,364.5599996,-0.472321127,57.27275502,72.1123657,42.72724498,0
367.1000061,365,-0.481494563,42.2728105,60.66723738,57.7271895,1
368.3999939,365.2599996,-0.379491881,48.18184593,49.24247048,51.81815407,0
364.7999878,365.5799988,-0.58243053,31.81818182,40.75761275,68.18181818,0
363,365.7399984,-0.878379432,23.63641912,34.54548229,76.36358088,1
363.2000122,365.7666646,-1.084282818,24.54556552,26.66672215,75.45443448,0
357.2999878,365.7599996,-1.703903853,5.462136385,17.88137368,94.53786361,1
361.2000122,365.299998,-1.858831163,30.33712232,20.11494141,69.66287768,1
363.7999878,365.2266663,-1.751624237,40.07486527,25.29137466,59.92513473,1
368,365.299998,-1.312624969,55.80525886,42.07241548,44.19474114,0
368,365.8599976,-0.953720984,55.80525886,50.56179433,44.19474114,1
370.6000061,366.2799967,-0.454251894,65.54311611,59.05121127,34.45688389,1
376.7000122,366.6333313,0.428856876,88.38959658,69.91265718,11.61040342,1
380.7999878,367.0199992,1.442927534,95.84770775,83.26014015,4.152292251,0
378.8999939,367.6799988,2.069417253,89.27333302,91.17021245,10.72666698,1
380.1000061,368.1466654,2.632401144,93.10344828,92.74149635,6.896551724,1
384.1000061,368.7933329,3.362574834,97.17870198,93.18516109,2.821298021,1
388.3999939,369.9266663,4.239347266,96.448038,95.57672942,3.551962005,0
387.7999878,371.2599996,4.83010185,94.03790631,95.88821543,5.962093688,0
386.8999939,372.7933329,5.16610548,89.65518358,93.38037596,10.34481642,0
386.6000061,374.3866659,5.34655254,88.8594596,90.85084983,11.1405404,1
387.3999939,375.9466654,5.490815758,90.98144417,89.83202912,9.01855583,1
389.8999939,377.9533325,5.740699296,90.88145727,90.24078702,9.118542725,0
383,379.8666646,5.320629059,67.00002035,82.95430726,32.99997965,0
377.7000122,381.1466654,4.508089203,42.42429847,66.76859203,57.57570153,0
375.3999939,381.7933329,3.636632422,33.71210589,47.71214157,66.28789411,0
373.7999878,382.2866659,2.784788219,17.31601274,31.1508057,82.68398726,1
375,382.499998,2.181380905,21.83406695,24.28739519,78.16593305,0
366.6000061,382.3866638,1.013681863,-5.622466826,11.17587096,105.6224668,0
358.2000122,381.4399984,-0.582818972,-3.273736268,4.312621287,103.2737363,0
353.8999939,380.0599996,-2.170018307,3.46533195,-1.810290381,96.53466805,1
363.7999878,378.3133321,-2.599077893,31.20563948,10.46574505,68.79436052,1
374.1000061,376.9599976,-2.083962685,55.55557159,30.07551434,44.44442841,1
381.1000061,376.006665,-1.098228973,72.10403972,52.9550836,27.89596028,0
376.6000061,375.5599996,-0.67238941,61.46573878,63.04178336,38.53426122,1
389.3999939,374.8733337,0.689989781,91.72576593,75.09851481,8.274234066,0
389.3999939,375.0599996,1.749517753,91.72576593,81.63909022,8.274234066,1
392.3999939,375.1933329,2.799010976,98.58489106,94.01214098,1.415108938,0
390.2000122,375.3599996,3.413868825,91.45500524,93.92188741,8.544994763,0
388.8999939,375.8400004,3.752985408,88.45265263,92.83084964,11.54734737,1
389.3999939,376.5866659,4.015792014,89.60738737,89.83834841,10.39261263,0
386.3999939,377.5199992,3.936614375,82.67897895,86.91300632,17.32102105,1
390.3999939,378.3599996,4.148807228,91.91685684,88.06774105,8.083143156,1
393.8999939,379.3866659,4.546977615,93.31895148,89.30492909,6.681048516,1
395.2999878,381.206665,4.918797487,96.33618011,93.85732948,3.663819894,1
396.6000061,383.6799967,5.257759845,96.2343342,95.2964886,3.765665801,1
401.7999878,386.5266642,5.878224507,91.61285072,94.72778834,8.387149278,0
401.2000122,389.0599976,6.24949393,86.23853725,91.36190739,13.76146275,0
397.7000122,390.8666646,6.189952949,75.53517733,84.46218843,24.46482267,0
388,391.9733317,5.298973111,45.87154251,69.21508569,54.12845749,0
383.1000061,392.7333313,4.149642121,-11.32997891,36.69224698,111.3299789,1
388.5,392.3133321,3.632648499,31.74601637,22.09585999,68.25398363,0
380.7000122,392.2533325,2.563977564,0.79369885,7.069912103,99.20630115,0
379.5,391.4733337,1.601753179,-1.55036284,10.32978413,101.5503628,1
387.8999939,390.7599996,1.49970506,33.33329523,10.85887708,66.66670477,0
387.7999878,390.6933329,1.39468448,32.95874071,21.5805577,67.04125929,0
383.8999939,390.5866659,0.985398934,18.35202868,28.21468821,81.64797132,0
375.3999939,390.4199992,-0.024558676,-9.386299486,13.9748233,109.3862995,1
376.7000122,389.4199992,-0.71185097,7.643383911,5.536371033,92.35661609,1
381,388.2733337,-0.899196607,21.3376019,6.531562109,78.6623981,1
388.8999939,387.3200012,-0.405531179,46.49679857,25.15926146,53.50320143,1
394.6000061,386.8066671,0.440566995,66.12381185,44.65273744,33.87618815,1
397.7999878,386.3266683,1.353712914,83.33329726,65.31796923,16.66670274,1
403.6000061,386.1,2.516393223,95.75167473,81.73626128,4.248325273,1
408.6000061,386.4933329,3.797508642,93.46050927,90.84849375,6.539490731,0
403.3999939,387.8666667,4.343139308,71.49876505,86.90364968,28.50123495,0
383.2000122,389.2199992,3.109738707,21.86737529,62.27554987,78.13262471,0
379.2999878,388.8666667,1.796847527,12.2850086,35.21704965,87.7149914,0
378.7999878,388.7733317,0.707866147,11.05650774,15.06963054,88.94349226,0
374.6000061,388.7266642,-0.488432518,0.737145505,8.026220615,99.26285449,1
377,387.8399984,-1.228684865,8.872928355,6.888860533,91.12707165,1
390.8999939,387.1199992,-0.685821123,42.20623729,17.27210372,57.79376271,1
395.2999878,387.5866659,0.098311761,52.75777832,34.61231466,47.24222168,1
405,388.9133321,1.485330673,76.01919167,56.99440243,23.98080833,1
405.7999878,390.799998,2.618916246,77.93762707,68.90486569,22.06237293,1
407.6000061,392.4533305,3.620799096,82.25421647,78.73701174,17.74578353,0
402.3999939,393.699998,3.949671591,69.78416687,76.65867014,30.21583313,1
414.7999878,394.2199972,5.151498026,99.04528835,83.69455723,0.954711649,1
426.2999878,395.3533305,6.951772321,97.06958622,88.63301381,2.930413781,1
428,396.8666626,8.418634667,98.55858055,98.22448504,1.441419447,1
431.8999939,398.1599955,9.783057561,98.15744409,97.92853695,1.842555911,1
433,400.0599955,10.8283118,89.77445445,95.49682636,10.22554555,0
429.3999939,403.3799947,11.23666364,84.10793978,90.67994611,15.89206022,1
429.7000122,406.7199951,11.45247736,84.55774227,86.14671217,15.44225773,0
425.3999939,410.1133301,11.14802821,78.11093938,82.25887381,21.88906062,1
431.6000061,413.4999959,11.27704449,86.87500954,83.1812304,13.12499046,1
434.6000061,417.1399963,11.48892853,82.47788691,82.48794528,17.52211309,1
444.2999878,420.0533305,12.2977943,95.07296933,88.14195526,4.927030672,1
452.6000061,423.3199972,13.45348496,94.93672982,90.82919535,5.063270183,1
463.2000122,426.4933309,15.05120907,100.1587398,96.722813,-0.158739847,1
466,430.3199992,16.35482432,95.78489184,96.9601205,4.215108156,0
465.5,434.2133321,17.14990949,95.05814753,97.00059307,4.941852471,0
464,438.4199992,17.45774079,91.28114681,94.04139539,8.71885319,0
459.3999939,441.7,17.13301849,80.37189835,88.9037309,19.62810165,0
457.2999878,443.9066671,16.5158365,76.03304222,82.56202913,23.96695778,1
462.7999878,445.8599996,16.28282114,87.39668001,81.26720686,12.60331999,1
463.6000061,447.9199992,15.97851915,89.04961062,84.15977762,10.95038938,1
464.1000061,449.9599996,15.59790057,90.0826686,88.84298641,9.917331401,1
469.6000061,452.2733337,15.56068771,99.19193152,92.77473691,0.808068478,1
473.2999878,454.9333333,15.6493578,95.07873897,94.78444637,4.921261025,0
473,458.1266663,15.51655776,90.18037175,94.81701408,9.819628248,1
474.2999878,460.8866659,15.339388,91.98216794,92.41375956,8.017832055,1
482.7999878,463.5333313,15.70383463,94.7618757,92.30813846,5.238124302,1
484.1000061,466.099998,15.91411382,97.34515027,94.69639797,2.65484973,1
496.1000061,468.199998,16.85477,113.3858406,101.8309555,-13.38584065,0
490.3999939,470.3933309,16.94497237,83.14854751,97.95984614,16.85145249,0
487.1000061,472.0199972,16.55929175,75.83150239,90.78863018,24.16849761,0
483.7999878,473.4599976,15.80516112,68.51438961,75.83147984,31.48561039,1
484.6000061,474.7799967,15.09802137,70.28826589,71.5447193,29.71173411,1
486,476.4599976,14.48361769,73.3924648,70.73170677,26.6075352,1
486.1000061,478.3733317,13.84516952,67.12709977,70.26927682,32.87290023,0
480.2999878,479.9266663,12.7245016,50.55860826,63.69272428,49.44139174,0
474.5,481.0399984,11.23879977,34.35751952,50.68107585,65.64248048,1
474.6000061,481.7333313,9.954688569,18.74998675,34.55537151,81.25001325,1
477.1000061,482.0666646,9.034604995,26.92311386,26.67687338,73.07688614,0
476.5,482.3199992,8.1629196,24.82519087,23.49943049,75.17480913,0
476,482.5533325,7.347064438,12.69845499,21.48225324,87.30154501,1
478.7000122,482.6666667,6.839520034,23.41278395,20.31214327,76.58721605,0
471.7000122,482.393335,5.805523479,-4.364980369,10.58208619,104.3649804,0
462,481.5666687,4.155462258,-8.76130925,3.428831444,108.7613092,0
461.6000061,479.293335,2.78341521,3.098608742,-3.342560292,96.90139126,1
467.2000122,477.3733358,2.123453876,23.23239589,5.856565126,76.76760411,1
468.1000061,476.0466695,1.653985633,26.26267712,17.53122725,73.73732288,1
472.1000061,475.0000041,1.586408114,39.73068505,29.74191935,60.26931495,1
477,474.1666707,1.906266743,56.22897422,40.7407788,43.77102578,1
481.2000122,473.5666707,2.470188104,76.2773934,57.41235089,23.7226066,0
481.2000122,473.2400045,2.883856543,83.26700929,71.92445897,16.73299071,1
484.5,473.3000061,3.438338174,96.41436782,85.31959017,3.585632182,0
482.1000061,473.9666728,3.642125259,86.85264147,88.84467286,13.14735853,0
479,474.4666728,3.51298787,74.50202255,85.92301061,25.49797745,0
477.5,474.593339,3.252119684,68.52592838,76.62686414,31.47407162,1
482.2000122,474.6600057,3.385604333,87.25107207,76.75967433,12.74892793,1
485,475.0733398,3.674964787,94.27481183,83.35060409,5.725188172,1
489.2000122,475.493339,4.194835463,98.97264497,93.49950962,1.027355026,0
488.8999939,476.6600057,4.530404072,91.66665036,94.97136906,8.333349635,0
487.3999939,478.4533386,4.622027294,85.48894532,92.04274689,14.51105468,0
481.7000122,480.1733378,4.1864398,60.53645447,79.23068339,39.46354553,1
