CP,MA,MACD,K,D,R,Trend
271.7000122,0.474062573,0.012595275,0.30016414,0.379112176,-0.256516606,0
269.2999878,0.476065891,0.013704416,0.156467453,0.418009022,-0.112552202,0
265,0.477961489,0.009971377,-0.101229719,0.181887209,0.145412687,1
267.1000061,0.478692758,0.009237467,0.024767862,0.040792829,0.019682822,1
267.7999878,0.479803423,0.009385522,0.066860058,-0.005115855,-0.022141659,0
263.7999878,0.480833082,0.005264542,-0.17288505,-0.041827071,0.217871164,0
262.3999939,0.480779317,0.000587164,-0.238985447,-0.176956109,0.284239275,1
264,0.480020958,-0.001308347,-0.136050709,-0.280913418,0.18157225,1
265.2999878,0.479668456,-0.001318551,-0.061588216,-0.22389211,0.10737747,0
264.1000061,0.480480545,-0.00248853,-0.130201302,-0.168158202,0.176258267,0
261.7999878,0.480290397,-0.005714944,-0.26181338,-0.232590114,0.308138056,1
263.2000122,0.479287217,-0.006613098,-0.147771363,-0.276744104,0.19436375,0
262.7000122,0.478798163,-0.007680856,-0.174639077,-0.299510563,0.221499173,0
261.7999878,0.479094371,-0.00929159,-0.217892797,-0.277008215,0.265020602,0
258.8999939,0.478198471,-0.01341982,-0.287171604,-0.348426948,0.334567118,0
256.7999878,0.474945023,-0.018630675,-0.244579475,-0.384259118,0.292242696,1
257.8999939,0.4713649,-0.021255161,-0.14330229,-0.346043491,0.191233217,0
254.8000031,0.46873128,-0.026254044,-0.248761004,-0.326364022,0.296959638,0
253.3000031,0.46642145,-0.031369573,-0.229632507,-0.318705738,0.278098846,1
253.6999969,0.463135149,-0.034514298,-0.184391756,-0.3397567,0.233125799,1
254.1999969,0.459765992,-0.035973421,-0.157922771,-0.293216905,0.206924518,0
253.3000031,0.457614338,-0.03757211,-0.193304703,-0.274604585,0.242574153,0
251.3000031,0.455597039,-0.040422877,-0.233331843,-0.299677725,0.282868996,0
251,0.452603396,-0.042429458,-0.229963426,-0.336585984,0.27976828,0
248.6999969,0.449174832,-0.045861982,-0.207822579,-0.344023459,0.257895134,0
248.3000031,0.445446612,-0.048369024,-0.221237094,-0.337826434,0.271577349,1
250.8000031,0.442231371,-0.047062979,-0.124650184,-0.283870637,0.175258139,0
250.6999969,0.439312581,-0.045526349,-0.128462206,-0.243211384,0.17933786,0
247.8999939,0.436500732,-0.046675215,-0.235795278,-0.250669627,0.28693863,1
248.1999969,0.43317277,-0.046645633,-0.191020011,-0.284672603,0.24243106,1
251.6999969,0.430710143,-0.042316853,-0.008787561,-0.223359072,0.060466307,1
254.3999939,0.429763419,-0.035511564,0.145369993,-0.028075703,-0.093423551,0
254.1999969,0.429249571,-0.029901944,0.275839441,0.211111258,-0.223625304,0
253.6000061,0.429520977,-0.025715126,0.24933152,0.343353626,-0.196849688,1
257.3999939,0.43003614,-0.018048879,0.386096687,0.466685158,-0.333347161,1
259.8999939,0.431472449,-0.009113792,0.353712915,0.506581682,-0.300695697,1
